Pays,langue,capitale,gouvernement,paysnum,questions(entourées par des slash et triées par le programme)
Portugal,portugais,Lisbonne,République,5,/C'est un petit pays d'Europe connu pour sa morue et son vin doux/On y écoute souvent du fado en bord de mer/Ses navigateurs ont marqué l’histoire des grandes découvertes./  
Espagne,espagnol,Madrid,Royaume,1,/Ce pays est célèbre pour ses danses de flamenco et ses corridas/Les gens y mangent des tapas et adorent la sieste/On y trouve une des langues les plus parlées au monde./  
Allemagne,allemand,Berlin,République,8,/Ce pays d'Europe est connu pour ses voitures rapides et sa bière/On y fête l'Oktoberfest chaque année/C’est la patrie de Beethoven et d’Einstein./  
France,français,Paris,République,4,/On y trouve des baguettes du fromage et beaucoup de châteaux/La Tour Eiffel est un de ses symboles les plus connus/C’est le pays le plus visité au monde./  
Italie,italien,Rome,République,7,/Ce pays en forme de botte est célèbre pour ses pâtes et ses pizzas/Les ruines de Rome rappellent son histoire ancienne/On y trouve le Vatican le plus petit État du monde./  
Russie,russe,Moscou,Fédération,9,/C'est le plus grand pays du monde où il fait très froid en hiver/On y boit souvent du thé dans des samovars/C’est un des rares pays traversés par 11 fuseaux horaires./  
Royaume-Uni,anglais,Londres,Royaume,6,/Ce pays est une île où les gens adorent boire du thé/Big Ben et la reine sont des symboles connus ici/Ses bus rouges à deux étages sont emblématiques./  
Pologne,polonais,Varsovie,République,8,/Ce pays a un drapeau rouge et blanc et célèbre Chopin/Il est connu pour ses pierogis et ses plaines vertes/Il a donné naissance à Marie Curie prix Nobel./  
Turquie,turc,Ankara,République,2,/Ce pays relie l'Europe et l'Asie avec Istanbul en son cœur/On y déguste du baklava et visite des mosquées magnifiques/Le détroit du Bosphore sépare ses deux parties./  

